author;title;subtitle;title_without_sub;edition;genre;date;location;publishing-house;pages;genre-by-librarian;title_id
Meding, Oskar;Um Szepter und Kronen;[Abt. 1], 3;Um Szepter und Kronen;[Mikrofiche-Ausg.];;1872;stuttgart;hallberger;;;216
Matijevich, Elke;The Zeitroman of the late Weimar Republic;;The Zeitroman of the late Weimar Republic;;;1995;new york [u.a.];lang;;;226
Mastriani, Francesco;Mein Leichnam;Zeitroman;Mein Leichnam;;;1856;;;;;228
Mahn, Anny;Die den Weg bereiten;Ein Zeitroman;Die den Weg bereiten;;;1916;hamburg;enoch;;;231
Lubojatzky, Franz Anton;Oswald Ehrenhaupt oder Pharisäer und Zöllner;Zeitroman;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;;1851;;;;;233
Lambrecht, Nanny;Anne-Brigitte;Ein Zeitroman;Anne-Brigitte;;;1935;berlin;kolk;;;238
Kutzleb, Hjalmar;Die Hochwächter;Ein Zeitroman;Die Hochwächter;einmalige Ausg. für die Dt. Hausbücherei;;1927;hamburg [u.a.];hanseatische verlagsanst;;;239
Kühn, Erich;Di Angeseilten;Ein Zeitroman;Di Angeseilten;;;1922;münchen;dt. volksverl.;;;242
Kuehn, Erich;Die Angeseilten;Ein Zeitroman;Die Angeseilten;;;1922;münchen;deutscher volksverl.;;;243
Kreutzer, Guido;Wetterleuchten;"Guido Kreutzer ; Zeitroman";Wetterleuchten;;;1915;berlin;c. duncker;;;244
Körber, Lili;Sato-San;"Ein japanischer Held ; satyrischer Zeitroman";Sato-San;;;1936;wien [u.a.];nath;;;245
Kohne, Gustav;Der blinde Seher;Ein sozial-kultureller Zeitroman;Der blinde Seher;;;1935;braunschweig [u.a.];westermann;;;246
Kohne, Gustav;Der blinde Scher;Ein sozial-kultureller Zeitroman;Der blinde Scher;;;1935;braunschweig, berlin, hamburg;westermann;;;248
Koerber, Lili;Sato-San, ein japanischer Held;Satyr. Zeitroman;Sato-San, ein japanischer Held;;;1936;wien, leipzig;nath;;;249
Klosterzell, Kathi von;Ella das Judenkind;Ein Zeitroman;Ella das Judenkind;;;1882;;;;;250
Klinck, Fanny;Im Banne der dritten Abtheilung;Zeit-Roman;Im Banne der dritten Abtheilung;;;1884;;;;;254
Kirstein, Paul A.;Glückshandel;Zeitroman von Paul A. Kirstein;Glückshandel;;;1905;berlin, eisenach, leipzig;h. hillger;;;257
Keller, Paul;Die vier Einsiedler. Ein Zeitroman von Paul Keller. 36.-45. Aufl;;Die vier Einsiedler. Ein Zeitroman von Paul Keller. 36.-45. Aufl;;;1923;breslau;bergstadt-v;;;258
Katschinski, Alfred;Die zweite Heimat;Ein Zeitroman aus dem Memellande;Die zweite Heimat;;;1921;berlin;deutsche landbuchhandlung;;;260
Karrasch, Alfred;Parteigenosse Schmiedecke;Zeitroman;Parteigenosse Schmiedecke;(72.-77. Taus.);;1941;berlin;zeitgeschichte;;;262
Kabel, Walther;Seine Frau - sein Schicksal;Ein Zeitroman;Seine Frau - sein Schicksal;;;1924;berlin;verlagshaus f. volkslit. u. kunst;;;263
Johannes, Martin Otto;Stehauf;Deutscher Zeitroman;Stehauf;;;1935;braunschweig [u.a.];westermann;;;264
Ilg, Paul;Der Hungerturm;Ein Zeitroman;Der Hungerturm;;;2018;zürich;chronos;;;266
Hoefer, Edmund;Der Demagoge;;Der Demagoge;;;1872;jena;hermann castenoble;;;267
Hillman, Roger;Zeitroman;The novel and society in Germany, 1830-1900;Zeitroman;;;1983;berne, frankfurt a.m. [usw.];p. lang;;;274
Heimdall;Berlins Ende;Zeitroman von Heimdall;Berlins Ende;;;1908;berlin & leipzig;h. seemann;;;275
Heimann, Erwin;Liebling der Götter;Ein Künstler- u. Zeitroman;Liebling der Götter;;;1939;bern;francke;;;276
Harten-Hoencke, Toni;Karolas Scheidung;Zeitroman;Karolas Scheidung;;;1929;berlin & leipzig;behr;;;277
Harnisch, Johannes W.;Der Zerfall;Zeitroman;Der Zerfall;;;1919;bln;askan. verl.;;;278
Harder, Agnes;Die Präsidentin;Zeitroman von Agnes Harder;Die Präsidentin;;;1919;bln;scherl;;;279
Hanstein, Adalbert;Die Aktien des Glücks;Humoristisch-satirischer Zeitroman;Die Aktien des Glücks;;;1895;berlin;verein für freies schriftthum;;;280
Hagen, Wilhelm;Die heilige Not;Zeitroman;Die heilige Not;;;1917;berlin;duncker;;;282
