author;title;subtitle;title_without_sub;edition;date;location;publishing-house
van Oestéren, Friedrich Werner;"Der Schatten der Gorgo ; Ein Zeitroman von 1916 von Fr[iedrich]  W[erner] v[an] Oestéren";;"Der Schatten der Gorgo ; Ein Zeitroman von 1916 von Fr[iedrich]  W[erner] v[an] Oestéren";;1917;stuttgart & berlin;deutsche verl.-anst
Dinter, Artur;Die Sünde wider das Blut;Ein Zeitroman;Die Sünde wider das Blut;;1918;leipzig;wolfverl.
Harder, Agnes;Die Präsidentin;Zeitroman von Agnes Harder;Die Präsidentin;;1919;bln;scherl
Harnisch, Johannes W.;Der Zerfall;Zeitroman;Der Zerfall;;1919;bln;askan. verl.
Doemens, Karl Wilhelm;Die ’Andere’;"Doemens, Carl Wilhelm ; Ein Zeitroman aus d.  Rheinlande";Die ’Andere’;;1920;köln & lpz;salm-verl.
Dinter, Artur;Die Sünde wider den Geist;Ein Zeitroman;Die Sünde wider den Geist;12.-20. Aufl., 56.-100. Tsd;1921;leipzig [u.a.];matthes & thost
Dinter, Artur;Die Sünden der Zeit;Die Sünde wider den Geist;Die Sünden der Zeit;11. Aufl., 51. - 55. Tsd;1921;leipzig [u.a.];matthes & thost
Katschinski, Alfred;Die zweite Heimat;Ein Zeitroman aus dem Memellande;Die zweite Heimat;;1921;berlin;deutsche landbuchhandlung
Reimann, Hans;Die Dinte wider das Blut;Ein Zeitroman;Die Dinte wider das Blut;39. wildgewordene und vermasselte Aufl., 640. - 683. Tsd., 6. -  10. Tsd., verb. und verm. Aufl.;1921;hannover;steegemann
Stoffregen, Goetz Otto;Vaterland!;Ein Zeitroman;Vaterland!;1. - 5. Aufl.;1921;bensheim;trutzeiche
Dinter, Artur;Die Sünde wider die Liebe;Ein Zeitroman;Die Sünde wider die Liebe;1.-5. Aufl., 1.-25. Tsd;1922;leipzig [u.a.];matthes & thost
Hanstein, Otfrid von (1869-1959);Wettkonzern Lange : Zeitroman;Zeitroman;Wettkonzern Lange : Zeitroman;;1922;dresden;verlag deutsche buchwerkstätten
Kühn, Erich;Di Angeseilten;Ein Zeitroman;Di Angeseilten;;1922;münchen;dt. volksverl.
Kuehn, Erich;Die Angeseilten;Ein Zeitroman;Die Angeseilten;;1922;münchen;deutscher volksverl.
Tamm, Traugott;Haus Thormälen;Zeitroman;Haus Thormälen;;1922;braunschweig & hamburg;g. westermann
Keller, Paul;Die vier Einsiedler. Ein Zeitroman von Paul Keller. 36.-45. Aufl;;Die vier Einsiedler. Ein Zeitroman von Paul Keller. 36.-45. Aufl;;1923;breslau;bergstadt-v
Kabel, Walther;Seine Frau - sein Schicksal;Ein Zeitroman;Seine Frau - sein Schicksal;;1924;berlin;verlagshaus f. volkslit. u. kunst
Brausewetter, Artur;Und hätte der Liebe nicht ...’ . ein Zeitroman;;Und hätte der Liebe nicht ...’ . ein Zeitroman;1. - 10. Aufl.;1926;breslau [u.a.];bergstadtverl.
Kutzleb, Hjalmar;Die Hochwächter;Ein Zeitroman;Die Hochwächter;einmalige Ausg. für die Dt. Hausbücherei;1927;hamburg [u.a.];hanseatische verlagsanst
Winterfeld, Achim;Als ich einst Prinz war von Arkadien ...;Satirischer Zeitroman;Als ich einst Prinz war von Arkadien ...;;1927;warendorf i. w.;verlag peter heine & co
Erbe-Lyck, Else;Notland;Ein Zeitroman in zwei Büchern;Notland;;1928;burg an der wupper;nieder-rheinischer verl.
Skowronnek, Fritz;Gesammelte Werke;Zertrümmerte Götzen;Gesammelte Werke;;1928;dresden-a.;wodni, lindecke & ködel [u.a.]
Harten-Hoencke, Toni;Karolas Scheidung;Zeitroman;Karolas Scheidung;;1929;berlin & leipzig;behr
Merckling, Charles;Grenzland-Teufel;Ein polit.-satir. Zeitroman;Grenzland-Teufel;;1929;strassburg;hauss
Schupp, Johannes Martin (1883-1947);Morisan : ein Zeitroman;ein Zeitroman;Morisan : ein Zeitroman;;1931;berlin;loesdau
Karrasch, Alfred (1893-1973);Parteigenosse Schmiedecke : ein Zeitroman;ein Zeitroman;Parteigenosse Schmiedecke : ein Zeitroman;41.-60. Tsd.;1934;berlin;zeitgeschichte
Johannes, Martin Otto;Stehauf;Deutscher Zeitroman;Stehauf;;1935;braunschweig [u.a.];westermann
Kohne, Gustav;Der blinde Seher;Ein sozial-kultureller Zeitroman;Der blinde Seher;;1935;braunschweig [u.a.];westermann
Lambrecht, Nanny;Anne-Brigitte;Ein Zeitroman;Anne-Brigitte;;1935;berlin;kolk
Steinhoff, Werner;"Hier Grand Hotel Addis Abeba! ; Abessinischer Zeitroman";;"Hier Grand Hotel Addis Abeba! ; Abessinischer Zeitroman";;1935;berlin;reichsbund-druckerei
Graf, Oskar Maria;Der Abgrund;E. Zeitroman;Der Abgrund;;1936;moskau;verlagsgen. ausländischer arbeiter i. d. udssr
Körber, Lili;Sato-San;"Ein japanischer Held ; satyrischer Zeitroman";Sato-San;;1936;wien [u.a.];nath
Oedemann, Georg Artur;Eine Straße geht durchs Land;Zeitroman;Eine Straße geht durchs Land;;1938;berlin;klieber
Heimann, Erwin;Liebling der Götter;Ein Künstler- u. Zeitroman;Liebling der Götter;;1939;bern;francke
Endrös, Anton;Brandfackeln im Bergdorf;Ein Zeitroman;Brandfackeln im Bergdorf;1. - 10. Tsd;1943;pressburg;andree
Schacht, Roland;Aufstand der Asketen;"Schacht, Roland ; Ein heiterer Zeitroman.  (Ill. v. Eberhard Schlotter)";Aufstand der Asketen;;1955;(düsseldorf, köln);diederichs
Szarota, Elida Maria;Lohensteins Arminius als Zeitroman;Sichtweisen des Spätbarock;Lohensteins Arminius als Zeitroman;;1970;bern [u.a.];francke
Hillman, Roger;Zeitroman;The novel and society in Germany, 1830-1900;Zeitroman;;1983;berne, frankfurt a.m. [usw.];p. lang
Graf, Oskar Maria;Werkausgabe;Der Abgrund;Werkausgabe;;1985;frankfurt am main;büchergilde gutenberg
Schöfer, Erasmus;Ein Frühling irrer Hoffnung;Die Kinder des Sisyfos : Zeitroman;Ein Frühling irrer Hoffnung;;2001;köln;dittrich verlag
Schöfer, Erasmus;Die Kinder des Sisyfos;Zeitroman;Die Kinder des Sisyfos;;2004;;
Schöfer, Erasmus;Zwielicht;Die Kinder des Sisyfos : Zeitroman;Zwielicht;;2004;[köln];dittrich verlag
Schöfer, Erasmus;Sonnenflucht;Die Kinder des Sisyfos : Zeitroman;Sonnenflucht;;2005;berlin;dittrich verlag
Schöfer, Erasmus;Winterdämmerung;"Die Kinder des Sisyfos ; Zeitroman";Winterdämmerung;;2008;berlin;dittrich
Schiller, Dieter;"Mit Geschichte will man etwas""";Geschichtsroman und Zeitroman in  der deutschen Exilliteratur 1933 - 1945;"Mit Geschichte will man etwas""";;2010;berlin;helle panke
Stratz, Rudolf;Unter den Linden;Berliner Zeitroman aus den neunziger Jahren;Unter den Linden;;2011;hamburg;tredition
Bracker, Jörgen;Genannt Claus Störtebeker;Ein historischer Zeitroman;Genannt Claus Störtebeker;Sonderauflage;2017;norderstedt;books on demand
Ilg, Paul;Der Hungerturm;Ein Zeitroman;Der Hungerturm;;2018;zürich;chronos
