Nr;NrKritiker;Kritiker;Rezension;WerkNr;Genrezuordnung_ausgeschrieben;Genrezuordnung_formal;Objektbezug-basal;Summe_referenzialisierbare_referenzialisierte Figuren;Objektbezug-basal_Anteil_Figuren;Objektbezug-basal_Anteil_Ereignisse;Objektbezug-basal_Anteil_Orte;Objektbezug-basal_unspezifisch_Orte;Objektbezug-basal_unspezifisch_Ereignisse;Objektbezug-basal_unspezifisch_gesamt;Objektbezug-basal_Ähnlichkeit;Objektbezug-basal_Genese;Referenzialisierbare_Figuren;Objektbezug-basal_unspezifisch_Figuren;Objektbezug-basal_intendiert;Objektbezug-basal_erkennbar;Objektbezug-basal_Referenz;Referenzialisierte_Figuren;Referenzialisierte_unverschlüsselte_Figuren;Exemplifikation-basal;Exemplifikation-basal_Anteil_Figuren;Exemplifikation-basal_Anteil_Gesellschaft;Exemplifikation-basal_Anteil_Stimmung;Instanziierung-basal;Klassenidentität-basal;Explizite-Wahrheit-basal_Anzahl;Explizite-Wahrheit-basal_ordinal;Bewertung_explizite_Wahrheit;Implizite-Wahrheit-basal;Bewertung_implizite_Wahrheit;Arg_Auseinandersetzung_impl_expl_Wahrheit;Isomorphie-basal;Vorkommen_Begriff_Erzähler;Explizite_Unterscheidung_Autor_Erzähler;Identifikation_Autor_Erzählerfigur;Impl_Identifikation_Autor_Erzähler;Ästhetische_Wertung;Absprechen_Literaturstatus;Epochenspezifisches_Thema;Universelles_Thema;Thematisierung_Sprache_Stil;Bewertung_Sprache_Stil;Moralische_Wertung;Kritik_anderer_Interpretationen;Tage_seit_Erstrezension
SR-Rez87;82;Fetz, Bernhard;Falter, 01.08.2003, S. 56–57 (Bernhard Fetz).;2;Roman, Love-Story, Politthriller;0;9;4;4;1;4;4;1;5;0;1;1;0;3;0;3;3;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;3;0;0;1;1;1;-;0;7
SR-Rez88;83;Gmünder, Stefan;Der Standard (Album), 26.07.2003, S. A5 (Stefan Gmünder).;2;Roman;0;7;1;1;1;5;5;1;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;4;0;1;1;1;1;-;0;1
SR-Rez89;62;Kämmerlings, Richard;Frankfurter Allgemeine Zeitung, 02.08.2003, S. 42 (Richard Kämmerlings).;2;Roman;0;8;1;1;0;7;7;0;7;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;-;0;1;0;0;0;1;1;0;0;4;0;1;1;0;0;-;0;8
SR-Rez90;13;Krause, Tilman;Die Welt (Die literarische Welt), 02.08.2003, S. 3 (Tilman Krause).;2;Roman, Anti-Roman, parabelhafte Erzählung;0;3;1;1;1;1;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;-;0;0;0;0;0;1;1;0;0;4;0;1;0;1;1;-;0;8
SR-Rez91;84;Kuhn, Heribert;Frankfurter Rundschau, 08.10.2003, S. 11 (Heribert Kuhn).;2;Roman;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;4;0;1;0;1;1;-;0;75
SR-Rez92;85;Mach, Christine;Tiroler Tageszeitung (Magazin), 26.07.2003, S. 6 (Christine Mach).;2;Roman;0;3;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;1;0;1;1;-;0;1
SR-Rez93;86;Mair, Georg;ff - Das Südtiroler Wochenmagazin, 31.07.2003, S. 44–45 (Georg Mair).;2;Roman;0;4;3;3;0;1;1;0;1;0;0;0;0;3;0;3;3;0;0;0;0;0;0;0;1;-;0;0;0;0;0;1;1;0;0;2;0;0;1;1;1;-;0;6
SR-Rez94;87;Mappes-Niediek, Norbert;Der Freitag, 07.01.2005, S. 14 (Norbert Mappes-Niediek).;2;Roman;0;4;3;3;0;1;1;0;4;0;0;0;3;0;0;0;3;0;1;1;0;0;0;0;0;-;0;3;1;1;0;1;1;0;0;2;0;1;0;0;0;-;0;532
SR-Rez95;74;Mischke, Roland;Rheinischer Merkur, 07.08.2003, S. 20 (Roland Mischke).;2;Roman, Erzählung;0;4;3;3;0;1;1;0;4;1;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;13
SR-Rez96;88;Müller, Lothar;Süddeutsche Zeitung, 26.07.2003, S. 11 (Lothar Müller).;2;Roman;0;9;0;0;1;8;8;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;0;0;3;0;1;0;0;0;-;0;1
SR-Rez97;89;Neubert, Sabine;Neues Deutschland, 08.12.2003, S. 12 (Sabine Neubert).;2;Roman;0;8;0;0;1;7;7;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;4;0;1;1;0;0;-;0;136
SR-Rez98;10;Pichler, Christian;Oberöstereichische Nachrichten, 18.09.2003, S. 8 (Christian Pichler).;2;Roman;0;5;1;1;2;2;2;2;5;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;3;0;1;0;0;0;-;0;55
SR-Rez99;90;ra;Echo, 25.09.2003, S. 112 (ra).;2;Roman;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;4;0;0;1;0;0;-;0;62
SR-Rez100;91;Radisch, Iris;Die Zeit, 22.12.2003, S. 46 (Iris Radisch).;2;Roman, Schlüsselroman;1;7;3;3;1;3;3;1;7;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;-;0;150
SR-Rez101;92;Resik, Cornelia;Sächsische Zeitung, 06.08.2003, S. 7 (Cornelia Resik).;2;Roman;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;1;0;1;0;-;0;12
SR-Rez102;93;Schertenleib, Hansjörg;Die Weltwoche, 21.08.2003, S. 76–77 (Hansjörg Schertenleib).;2;"""Antiroman"", Roman, Thesenroman";0;6;1;1;0;5;5;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;0;0;1;0;0;1;1;1;-;0;27
SR-Rez103;94;Schütte, Uwe;Wiener Zeitung (extra), 10.10.2003, S. 6 (Uwe Schütte).;2;Roman;0;3;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-;0;3;0;0;0;1;0;0;0;4;0;1;1;0;0;-;0;77
SR-Rez104;95;Schwens-Harrant, Brigitte;Die Furche, 14.08.2003, S. 18 (Brigitte Schwens-Harrant).;2;Roman;0;9;3;3;1;5;5;1;6;0;1;1;0;2;0;2;2;0;0;0;0;0;0;0;1;-;0;1;0;0;0;1;1;0;0;3;0;1;0;1;1;-;0;20
SR-Rez105;3;Strigl, Daniela;profil, 04.08.2003, S. 125 (Daniela Strigl).;2;Roman, Schlüsselroman;1;7;4;4;0;3;3;0;3;1;0;1;0;3;0;3;3;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;3;0;0;0;1;1;-;1;10
SR-Rez106;96;Supp, Barbara;Der Spiegel, 28.07.2003, S. 124 (Barbara Supp).;2;Roman;0;3;3;3;0;0;0;0;1;3;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;3
SR-Rez107;97;Thuswaldner, Anton;Salzburger Nachrichten (Lebensart), 25.11.2003, S. VII (Anton Thuswaldner).;2;Roman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-;0;2;0;0;0;1;1;0;0;3;0;0;1;0;0;-;0;92
SR-Rez108;98;-;Basler Zeitung, 29.08.2003 (o. V.).;2;Abenteuerroman, Zeitroman;0;4;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;4;0;0;0;0;0;-;0;35
SR-Rez109;99;-;Kurier, 02.08.2003 (o. V.).;2;Roman;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;2;0;1;1;0;0;-;0;8
SR-Rez110;100;Bergmann, Gudrun;Passauer Neue Presse, 15.11.2003 (Gudrun Bergmann).;2;Roman;0;2;1;1;0;1;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;-;0;0;0;0;0;1;1;0;0;3;0;1;0;0;0;-;0;113
SR-Rez111;101;Breckner;Darmstädter Echo, 27.08.2003 (Breckner).;2;Roman;0;5;4;4;0;1;1;0;1;0;1;1;0;3;0;3;3;0;0;0;0;0;0;0;0;-;0;1;0;0;0;1;1;0;0;3;0;1;1;1;1;-;0;33
SR-Rez112;102;Heinold, Thomas;Nürnberger Zeitung 20.08.2003 (Thomas Heinold).;2;Roman;0;4;0;0;1;3;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;-;0;26
SR-Rez113;103;Krause, Werner;Neue Vorarlberger Tageszeitung, 07.08.2003 (Werner Krause).;2;Roman;0;5;4;4;0;1;1;0;1;0;0;0;0;4;0;4;4;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;2;0;0;0;1;1;0;0;13
SR-Rez114;104;Marx, Friedhelm;Kölner Stadtanzeiger, 13.08.2003 (Friedhelm Marx).;2;Roman, Bericht;0;5;2;2;1;2;2;1;3;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;-;0;2;0;0;0;1;1;0;0;4;0;1;1;0;0;-;0;19
SR-Rez115;105;Probst, Hans Ulrich;Aargauer Zeitung, 03.09.2003, S. 11 (Hans Ulrich Probst).;2;Romanreflexion, Roman;0;3;1;1;0;2;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;4;0;1;0;1;1;-;0;40
SR-Rez116;106;Rössler, Susanne;Format, 25.07.2003 (Susanne Rössler).;2;Roman;0;5;3;3;1;1;1;1;2;0;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;1;0;0;0;-;0;0
SR-Rez117;51;Schröder, Lothar;Rheinische Post, 29.10.2003 (Lothar Schröder).;2;Roman;0;3;1;1;0;2;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;-;0;1;0;0;0;1;1;0;0;4;0;0;1;1;1;-;0;96
SR-Rez118;107;Ebeling, Carola;die tageszeitung, 04.09.2003 (Carola Ebeling).;2;Roman;0;3;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;1;1;0;0;3;0;1;1;1;1;-;0;41
